,feature,class
2021,"[-4.3098798e+02  7.6952217e+01  4.3978081e+00 -4.1591716e+00
 -1.3574528e+01  4.3398442e+00 -2.0615862e+01  4.2053766e+00
 -2.2009684e+01 -3.4078593e+00 -1.2904099e+01  2.6942999e+00
 -4.5822210e+00  1.0045764e+01 -3.8011858e+00  2.6943865e+00
 -9.0352893e-01  3.7384090e-01 -3.4620275e+00 -1.5644288e+01
 -6.2848692e+00 -4.1858687e+00 -9.9343596e+00  5.6842794e+00
  1.4171379e+01  2.4763090e+01  2.9825062e+01  3.1037626e+01
  1.4748720e+01  7.1188540e+00  1.5932168e+00  4.8762679e+00
  8.9917164e+00  4.2900455e-01  6.3153963e+00 -2.9057229e+00
  4.3730405e-01  7.6483674e+00  1.8115556e+00 -9.1748521e-02]",Angry
2022,"[-397.6741      47.724136   -19.651112   -15.96864     -5.1359787
   10.473607   -25.052456     8.024218   -16.150833     4.9720163
  -14.795825     8.638229    -7.3475995   15.241579    -1.582796
    6.1986394   -3.2673664    3.4288137   -1.9554497  -10.249275
   -1.6575348    2.820776    -5.5907845    7.52548     11.724806
   19.843826    24.204233    25.59183     14.93086     10.351987
    3.7210557    4.813694     5.966017     3.3663247    2.7200942
   -0.9732747    1.3841186    3.0554888    3.0091183    2.487926 ]",Angry
2023,"[-403.52148      37.83654      -7.0529566    29.706741    -20.445194
    0.6767951    -9.615561     -9.843529    -15.574038      4.6256723
  -14.520192     10.609926    -10.31145      10.624853     -1.0782301
    4.780984      2.6585026     6.4984574    -4.418824      7.789506
   -7.5896025     5.6181345    -3.8280244     1.630619      0.60353297
   -1.0060853     3.7621417     8.478526      6.733713      9.195494
    4.3056602     5.79768       4.8864202     4.846093      4.78536
    6.8688073     2.2035282     1.4910067     1.6431726     3.16575   ]",Surprise
2024,"[-311.82397      42.375614     -3.1723516    15.152158    -43.447033
  -10.219351     -4.660041    -14.809967    -12.370737      5.959935
  -20.603876     11.747348    -15.086448      8.280111     -5.6334667
   -0.84678465   -4.752972      1.8862712   -11.126626      2.0281978
   -6.3204494    -3.4698827    -0.91605085    6.436081      7.2030487
   14.391257      9.543367      9.069353      8.373666      7.654899
    2.673231      2.1361845    -2.0388384    -2.7369754     1.2696244
    0.38907206    1.986506     -1.44054      -3.4575384    -1.609913  ]",Angry
2025,"[-3.9573004e+02  5.7979691e+01 -4.9499741e+00  1.0620202e+01
 -1.1884383e+00  2.6770763e+00 -2.0377487e+01  6.9581132e+00
 -2.1212605e+01 -7.5150865e-01 -2.6483135e+01 -2.3312607e+00
 -6.6625113e+00  3.6260290e+00 -7.0326576e+00  5.0618324e+00
 -2.0937302e+00  9.0326614e+00  2.1180744e+00 -2.3258252e+00
  8.0989665e-01  1.5624869e+01  1.7666893e+01  3.0081322e+01
  2.4954269e+01  1.5819460e+01  1.2687417e+00  4.2928839e+00
 -1.2844493e+00  6.0501180e+00  1.5362834e+00  2.4397020e-01
 -1.4988760e+00 -3.9678314e+00  2.7583761e+00  2.5673618e+00
 -1.7124770e+00 -2.4895554e+00 -2.0783911e+00  1.6080332e-01]",Fear
2026,"[-3.5365634e+02  6.2825031e+01 -2.2515867e+01  5.9666500e+00
 -1.7441647e+01  1.6827054e+00 -1.7047083e+01 -1.8977919e+01
 -1.2929233e+01  8.3583384e+00 -2.4385651e+01  1.8899256e+01
 -1.6549004e+01  1.3462964e+01 -2.9757266e+00  2.7358851e+00
  1.5761754e-01  8.7183228e+00 -5.1977730e+00  4.9722428e+00
 -7.9532824e+00  6.2962947e+00 -5.7525721e+00  2.4419117e+00
 -1.1227704e+00  1.1925923e+00  3.5868767e-01  2.5853670e+00
  3.4491320e+00  7.7561374e+00  4.8399796e+00  1.0191273e+01
  5.4002848e+00  7.0787854e+00  6.7104192e+00  5.2034411e+00
  7.9916725e+00  4.6739192e+00  4.3968916e+00  2.3885198e+00]",Surprise
2027,"[-4.05308105e+02  8.05630341e+01 -8.82160568e+00 -9.48641014e+00
 -8.88960457e+00  3.46718717e+00 -1.89709949e+01  1.03764715e+01
 -2.18974571e+01  8.30982685e+00 -1.88309193e+01  2.82897726e-02
 -7.60565042e+00  1.53009212e+00 -5.29627991e+00  5.54404449e+00
 -1.97773588e+00  1.43302469e+01 -4.40537333e-01 -1.61731148e+00
  2.95471644e+00  3.33914161e+00 -3.53301716e+00  3.46704316e+00
 -2.83667588e+00  4.59852982e+00 -3.40619254e+00  7.83724117e+00
 -2.70858079e-01  6.20666504e+00  7.36572313e+00  8.94934845e+00
  1.01852360e+01  6.89725065e+00  1.12665672e+01  9.66284466e+00
  9.59951878e+00  1.04852324e+01  5.66142464e+00  3.95474029e+00]",Surprise
2028,"[-4.2599527e+02  8.3398041e+01  4.4496193e+00  1.0643683e+01
 -1.1456829e+01 -3.5432023e-01 -1.3684071e+01  5.5807524e+00
 -2.2665636e+01  7.3523464e+00 -1.3843392e+01  5.7414761e+00
 -7.8400950e+00  7.6602292e+00 -1.8848610e+00  8.0558300e+00
 -6.2563877e+00  5.2855115e+00 -2.7280691e+00 -2.1425385e+00
 -5.9993559e-01  3.6310172e+00 -6.1348667e+00  5.4033895e+00
 -2.0607128e+00  3.6443443e+00 -1.1587656e-01  3.6132970e+00
  1.5746294e+00  8.9966339e-01 -9.2736095e-01  1.9035194e+00
  1.0780370e+00  3.9631848e+00  1.1549459e+01  9.1983480e+00
  1.4683783e+01  1.1322076e+01  1.1025747e+01  5.4047632e+00]",Disgust
2029,"[-3.5043985e+02  4.3802914e+01 -3.4343708e+01  1.6420849e+01
 -2.1452763e+01 -7.6691675e+00 -1.5409627e+01 -8.0154353e-01
 -6.9853210e+00  1.1316468e+01 -1.3798127e+01  1.4571934e+01
 -1.2019062e+01  1.6841314e+01  3.6471052e+00  9.5093184e+00
  1.3691806e+00  1.0432283e+01 -3.5065694e+00  9.0024405e+00
 -4.9863977e+00  4.3482256e+00 -3.6172619e+00 -1.2945679e-01
  3.0465147e+00  6.2098703e+00  5.2755580e+00  1.1368023e+01
  8.5643320e+00  7.2417312e+00  1.8897378e+00  4.6397343e+00
  3.2959950e+00  4.3023915e+00  2.9163184e+00  1.0434839e+00
  1.8059604e+00  4.9247468e-01  2.7738605e+00  3.3190424e+00]",Surprise
2030,"[-2.9806619e+02  4.4867798e+01 -2.4116011e+01  1.6315628e+01
 -1.8104603e+01  2.0705376e+00 -1.3620614e+01 -1.1895891e+01
 -3.1067555e+00 -2.8352990e+00 -1.6440472e+01  1.4940794e+01
 -2.0177429e+01  9.2166309e+00 -9.4894781e+00 -5.0546703e+00
  1.3894393e+00  2.2513552e-01 -2.5151706e+00  6.1910205e+00
 -6.7931871e+00 -5.4958129e+00 -5.3171291e+00  6.0607076e+00
  8.2120667e+00  1.4614731e+01  6.6350250e+00  4.0185075e+00
  3.2211545e+00  5.6155815e+00  5.9684906e+00  2.9684041e+00
 -1.0869430e+00  2.5698295e+00  3.2959535e+00  6.9064670e+00
  2.9472277e+00 -4.2896912e-02 -3.9573293e+00 -3.6556518e+00]",Happy
2031,"[-3.4899142e+02  3.7761074e+01 -1.1666755e+01  2.1986452e+01
 -2.5757345e+01  8.1319141e+00 -4.8027349e+00 -1.3575429e+01
 -9.1842489e+00  8.7814927e-02 -1.9644165e+01  9.9915695e+00
 -1.4857321e+01  1.0298160e+01 -8.4527597e+00  1.8314511e+00
 -3.3847988e+00  2.4412425e+00 -5.6473475e+00  2.6514010e+00
 -7.5591002e+00 -5.7958823e-01 -9.2953281e+00 -3.7654204e+00
 -3.8800454e+00  1.0407187e+00  4.6313663e+00  1.4772771e+01
  1.8601614e+01  1.8207754e+01  1.0222018e+01  4.5255551e+00
  1.3028016e+00  4.0050831e+00  5.9277253e+00  8.1637096e+00
  3.1123548e+00  6.2211448e-01 -1.6766349e+00  9.5460784e-01]",Angry
2032,"[-3.4524225e+02  6.3154575e+01 -2.6075382e+01  5.4389820e+00
 -2.1670826e+01  5.4901896e+00 -1.5071688e+01 -1.3764384e+01
 -1.6420010e+01  9.1849670e+00 -2.3010031e+01  7.0840292e+00
 -1.7217360e+01  8.2721672e+00 -3.2130152e-01  1.0248603e+01
  8.3762277e-03  7.2506061e+00 -4.9598985e+00  6.2698164e+00
 -5.7666035e+00  2.9761662e+00 -5.1269245e+00  4.8800978e-01
 -3.3555388e+00  1.4442148e+00  1.1404557e+00  4.1749287e+00
  8.0873146e+00  1.1214548e+01  8.8377113e+00  1.2943547e+01
  9.2698097e+00  8.4518995e+00  7.6135845e+00  3.3776648e+00
  6.0979824e+00  1.7014797e+00  1.6876035e+00  3.7621036e+00]",Surprise
2033,"[-455.53815      80.715996     11.380717      4.666939      0.9955252
    8.307385    -19.23519       5.542917    -14.679541      2.796953
  -14.024086     -1.4975096    -6.1667647     5.3036795    -1.4142531
    5.308408     -2.7976134    14.86658      -2.563469      4.2461815
    1.4275553     4.8754406    -1.5287573     6.475128     -1.8257624
    3.6049862    -0.69176847    5.8617344    -1.0007958     5.242434
   -0.775453      4.6033025     4.148729      2.332867      2.883394
    5.1718917     2.3664627     3.6653047     3.6831367     4.3626285 ]",Happy
2034,"[-4.3590073e+02  6.7290833e+01  1.5320093e+01 -3.6177683e+00
 -1.7305298e+01  1.9867334e+00 -1.5498524e+01  4.1593823e+00
 -2.2654955e+01  4.2000065e+00 -2.3169302e+01  1.2154778e+00
 -8.6960497e+00  3.7939143e+00 -4.8631339e+00  9.5694023e-01
 -3.6458104e+00  4.9533181e+00 -5.6307731e+00 -3.0359442e+00
 -6.0391831e+00  4.2778974e+00  2.2349098e+00  1.5767585e+01
  2.7120724e+01  2.9561857e+01  2.5312857e+01  2.0357166e+01
  2.0652256e+00 -4.7525406e-01  1.2003750e+00  4.9327760e+00
  4.7606835e+00 -3.0740726e+00 -2.7076614e+00  4.2174372e-01
  2.3791535e+00  4.9726391e+00 -4.3853765e+00 -5.0244002e+00]",Fear
2035,"[-4.5213284e+02  9.2178955e+01  1.9470804e+01  3.2535442e+01
 -2.2869770e+01  1.4566531e+01 -1.0226461e+01 -1.1066407e+01
 -9.2931967e+00  3.1905420e+00 -1.0582316e+01  2.2658899e+00
 -9.1913624e+00  1.1983474e+01 -1.4865624e+01  2.8760068e+00
 -3.5267370e+00  3.4720781e-01 -1.2394638e+01  2.1158459e+00
 -6.4724817e+00 -3.6735749e+00 -2.5803790e+00 -2.5561216e+00
 -4.6622348e+00  5.1345718e-01 -3.0663674e+00  1.7907083e-01
 -3.5839190e+00 -2.3904893e+00 -6.9608569e+00  1.1058142e+00
  3.6744647e+00  7.4518995e+00  1.7649551e+01  2.2058695e+01
  1.9687929e+01  1.1227065e+01  4.7876344e+00 -5.4075831e-01]",Calm
2036,"[-4.7217624e+02  7.8758209e+01  1.9878017e+01 -5.4979744e+00
 -1.7990112e+01  7.1986303e+00 -1.3541215e+01  7.7444539e+00
 -2.2888664e+01 -1.8432505e+00 -2.1428680e+01 -7.0409379e+00
 -1.1316165e+01  3.9943681e+00 -7.0756521e+00  4.5561662e+00
 -3.9431269e+00  5.3930769e+00 -3.6322153e-01 -7.9937053e+00
 -8.7363482e-01  8.0833712e+00  7.6530690e+00  3.1320341e+01
  3.0700235e+01  3.1131893e+01  1.4116041e+01  8.1081820e+00
 -4.0418153e+00  3.5387223e+00  3.4868846e+00  6.3669252e+00
 -1.2968333e+00 -7.5406537e+00  4.2754092e+00  5.1676307e+00
 -1.4609733e+00 -1.7404933e+00 -4.2603412e+00 -3.6999509e-01]",Fear
2037,"[-4.6497192e+02  9.4723564e+01  2.1084608e+01  1.1872712e+01
  2.8213418e+00  9.1334372e+00 -1.7641041e+01  6.8614202e+00
 -2.3879629e+01  1.2022681e+00 -1.2300202e+01  1.4743323e+00
 -3.2889774e+00  2.6898263e+00 -4.9781098e+00  9.5849104e-02
 -5.5668325e+00  3.3527291e+00 -4.4487166e+00  1.3581285e-01
  1.9705534e-02 -2.6172118e+00 -3.8886232e+00  4.2278442e-01
 -3.5402136e+00  5.6744556e+00 -4.2011595e+00  3.4944165e+00
 -1.6816912e+00  8.8728231e-01 -1.1125606e+00  1.8530983e-01
 -2.6897793e+00  2.3476837e+00  3.2498717e+00  4.0262938e+00
  7.1472464e+00  6.5085888e+00  1.0833155e+01  9.5210247e+00]",Disgust
2038,"[-2.9402438e+02  3.2013706e+01 -3.1163085e+00  2.4622414e+01
 -1.2964957e+01  8.3554783e+00 -8.0858278e+00 -1.1033329e+01
 -8.4954319e+00  3.1114328e+00 -1.8513752e+01  1.5208511e+01
 -1.5768800e+01  8.6709385e+00 -5.3988967e+00 -9.3261725e-01
 -5.5115190e+00  2.7231362e+00 -1.2712086e+01  3.5981715e+00
 -5.0343170e+00 -9.6857071e-01 -7.2015721e-01  1.5271257e+00
  1.6130490e+00  6.5772529e+00  2.7207549e+00  5.7025390e+00
  8.6674652e+00  8.7470436e+00  9.2446966e+00  9.1054955e+00
  4.8808408e+00  1.4435363e+00 -1.6702195e+00 -1.0139232e-01
  2.6996393e+00  1.7222888e+00 -2.4029229e+00 -2.8108258e+00]",Angry
2039,"[-4.2521985e+02  7.2663513e+01  3.5226898e+00  1.0552082e+00
 -6.8388014e+00  2.4915552e+00 -1.9835711e+01  4.2106061e+00
 -2.1031239e+01  3.3868070e+00 -1.6850788e+01 -1.7352279e+00
 -5.9670730e+00  1.8529708e+00 -5.7954931e+00  6.0426769e+00
 -3.8993177e+00  1.4075614e+01 -1.3766295e+00  3.4332325e+00
  1.9662023e+00  6.1916933e+00 -2.2523971e+00  7.0867047e+00
 -3.9275131e-01  4.9822278e+00 -1.1622792e+00  4.0852842e+00
 -1.7284144e+00  2.8605716e+00 -8.3922905e-01 -5.3942427e-02
  4.1356034e+00  6.7388020e+00  1.1093596e+01  1.1164424e+01
  1.4346780e+01  1.2284157e+01  9.5005064e+00  4.9367471e+00]",Surprise
2040,"[-4.4231619e+02  9.5475235e+01  1.3210487e+01 -1.0446439e+01
 -9.6494656e+00  1.3393363e+01 -2.0505461e+01 -2.2295618e+00
 -2.3582918e+01  3.3951075e+00 -2.3348795e+01 -4.3788533e+00
 -8.4649544e+00  3.7151766e-01 -1.3285359e+00  1.5610340e+00
 -4.3686213e+00  1.5912263e+01 -3.8657990e+00 -1.8495970e+00
 -1.4012244e+00  1.5749341e+00  5.0333605e+00  6.2841172e+00
  1.3136138e+00  7.9418993e+00  1.1363759e+00  7.9056411e+00
 -1.8423872e+00  5.8235092e+00  8.4350789e-01  3.9866936e+00
  4.2742109e+00  1.7683370e+00  4.0533795e+00  5.4231901e+00
  5.8153605e+00  6.0606894e+00  9.7266932e+00  9.3871145e+00]",Happy
2041,"[-5.1361505e+02  8.0704956e+01  2.0667862e+01  1.1094050e+01
  1.4274967e+01  1.9417376e+01 -1.8284388e+01 -1.4056827e+01
 -1.5302779e+01  3.8267117e+00 -1.4080471e+01  6.3967609e+00
 -6.7785792e+00  7.3566790e+00 -2.9364461e-01 -1.6018312e+00
 -8.5697311e-01  5.6012955e+00 -1.6628627e+00 -1.1131682e+00
  3.2876251e+00 -3.7598572e+00 -3.7836671e+00 -1.7677783e+00
 -6.2032781e+00  3.0645537e+00  5.9270716e-01  7.6795692e+00
  7.2044044e+00  1.2113563e+01  1.0828897e+01  9.6888542e+00
  4.4087424e+00  5.5951862e+00  7.5308175e+00  9.3402147e+00
  1.2046244e+01  8.7615776e+00  4.8092747e+00  5.6271362e+00]",Sad
2042,"[-4.74927521e+02  1.03200386e+02  1.96402817e+01  1.97930229e+00
  9.86387444e+00  1.44901991e+01 -2.15120010e+01  9.92691994e+00
 -2.00757961e+01  3.71700573e+00 -1.43359642e+01 -3.41495895e+00
 -6.61599445e+00  3.25608468e+00 -3.48523235e+00  8.40723276e-01
 -8.81805706e+00  4.50822449e+00 -4.46058607e+00 -8.24211240e-01
  9.02943552e-01 -3.58941126e+00 -1.15783846e+00 -1.82886553e+00
  5.52212954e-01  4.59100437e+00  3.55648622e-02  2.14979053e+00
 -7.05516219e-01  1.89519966e+00  1.26912546e+00  8.43603134e-01
 -9.91190314e-01  7.88638055e-01  3.87869626e-02  2.02131319e+00
  2.17420697e+00  5.69237804e+00  8.94177055e+00  7.53447771e+00]",Disgust
2043,"[-3.5874155e+02  4.9061634e+01 -1.7755587e+01 -5.9647460e+00
 -1.7266615e+01  1.2902522e+01 -1.8926260e+01 -3.3025465e+00
 -1.8449850e+01  1.3220014e+01 -1.4472140e+01  7.7113533e+00
 -1.6241660e+00  9.2439957e+00 -6.3497863e+00  5.0807548e+00
 -8.2628757e-01  7.0878806e+00 -3.6431236e+00  7.5189643e+00
 -7.2443881e+00  3.3564265e+00 -3.6546803e+00  1.9247546e+00
  6.1517394e-01  3.5477333e+00 -3.5061145e-01  6.7837615e+00
  4.9994416e+00  8.5043287e+00  6.8236828e+00  1.1041884e+01
  3.8368320e+00  5.1586118e+00  2.2393210e+00  1.8832692e+00
  1.5392761e+00  1.5246874e+00  1.2950932e+00 -2.1573839e+00]",Surprise
2044,"[-3.2390280e+02  4.7703770e+01 -3.6924694e+01  1.6955127e+00
 -2.8944942e+01  6.2305727e+00 -1.5405059e+01 -5.5282316e+00
 -1.7620621e+01  2.0111773e+01 -2.2078144e+01  1.2978684e+01
 -1.2145456e+01  1.2032839e+01 -2.8785999e+00  1.4316120e+00
  4.9777594e+00  8.0967274e+00 -3.5527656e+00  5.6797967e+00
 -5.6728973e+00  5.7178464e+00 -1.3281664e+00  6.5323222e-01
 -2.2829676e+00 -4.4739351e-02  1.5517744e+00  2.7623570e+00
  5.0024385e+00  8.7648153e+00  5.3420787e+00  1.0550192e+01
  3.0344834e+00  4.0967093e+00  4.6216002e+00  5.3245349e+00
  4.5456567e+00  4.3920703e+00  3.6620255e+00  4.1880331e+00]",Surprise
2045,"[-4.26917145e+02  5.61140022e+01  1.32011259e+00  8.85401440e+00
  4.12519962e-01  8.84164143e+00 -2.06317444e+01  1.79332519e+00
 -1.37322645e+01  1.75375605e+00 -2.28347912e+01  5.68688726e+00
 -8.14346123e+00  7.67786932e+00 -5.88861656e+00  1.71105230e+00
 -2.08262348e+00  3.25249481e+00 -2.33172417e+00  8.00384402e-01
  8.71682358e+00  2.52854042e+01  2.24073181e+01  2.93600273e+01
  1.41884851e+01  7.63574743e+00 -1.54139733e+00  3.26450324e+00
  8.06949854e-01  1.05038157e+01  3.63114215e-02 -4.78692389e+00
  7.58402765e-01 -1.36241925e+00  2.90114951e+00  1.23101152e-01
 -3.74743724e+00 -1.63422072e+00 -5.66942291e-03  8.38849723e-01]",Fear
2046,"[-3.2430441e+02  2.6881195e+01 -1.4033560e+01  2.8828125e+01
 -6.6377025e+00 -3.0493875e+00 -1.5562511e+01 -6.3351064e+00
 -6.6609526e+00 -2.3213205e+00 -1.4890000e+01  1.2353058e+01
 -1.7596071e+01  7.8973846e+00 -1.1413102e+01  9.3680985e-02
 -1.9500235e+00  4.3064404e+00 -8.2172365e+00  4.2907062e+00
 -8.5656462e+00 -6.7896104e+00 -3.6549932e-01  4.4188457e+00
  9.1938601e+00  1.1029791e+01 -6.5349096e-01  6.6745725e+00
  4.0331988e+00  9.8410864e+00  6.7403941e+00  2.8425462e+00
  3.1501319e+00  8.8050234e-01  2.1848524e+00  2.6836104e+00
  1.3714873e+00  2.1128030e-01 -3.9064844e+00 -3.1817667e+00]",Happy
2047,"[-4.5918396e+02  6.9370369e+01  1.2167245e+01  1.8984293e+01
  1.4562304e+01  4.6591854e+00 -1.2992588e+01  7.3941412e+00
 -1.4871704e+01  2.0015502e+00 -1.2854971e+01  2.9028015e+00
 -4.6862631e+00  4.4974523e+00 -2.1106751e+00  3.8228586e+00
 -4.0962434e+00  5.2155519e+00 -3.7936752e+00  1.2826041e+00
 -1.0472445e+00  1.1100637e+00 -2.7594249e+00  5.0987359e-02
 -3.8654671e+00  1.0841889e+00 -9.8727411e-01  1.8086176e+00
  8.8678557e-01  1.2589440e+00  1.5141084e+00  1.5147375e+00
  2.4406462e+00  3.7140441e+00  7.6116614e+00  8.9014912e+00
  1.1633531e+01  8.8714476e+00  1.1295100e+01  7.3298521e+00]",Disgust
2048,"[-305.0351       41.888027    -24.066715     35.438965    -13.345018
  -10.550017    -15.283625    -12.804479     -0.51190114  -11.54851
  -12.231471     13.821746    -21.009378      8.217608    -10.435156
   -2.1351748    -1.0654814     1.2639681    -5.69581       1.8957456
   -3.9056146     5.6304317     2.9004607     4.543539     -4.3705173
   -2.3958516    -2.0190837     5.53504      13.435704      8.2923975
    2.748974      7.4257073    10.645771     10.2104845     4.044248
   -2.4052072    -0.9394012    -3.0303602    -4.356524     -2.010329  ]",Happy
2049,"[-3.33143585e+02  3.65900459e+01 -1.56487055e+01  1.50413685e+01
 -3.49384384e+01  4.58385181e+00 -6.69109964e+00 -1.25282707e+01
 -1.24422855e+01  1.39528883e+00 -1.75505238e+01  1.52478199e+01
 -1.86677132e+01  1.16205769e+01 -7.66375351e+00  1.55304182e+00
 -3.35317087e+00  3.41704273e+00 -5.07039118e+00  2.98473883e+00
 -6.13155460e+00 -2.47375703e+00 -9.63085556e+00  1.84441006e+00
 -2.06146097e+00 -2.78095454e-01  2.45196986e+00  7.64280939e+00
  1.32704706e+01  1.84317513e+01  1.57769966e+01  1.14995193e+01
  3.76053190e+00  4.26474857e+00  3.70772570e-01  3.14216709e+00
  5.44141340e+00  3.52819824e+00 -4.00869608e-01 -2.37653184e+00]",Angry
2050,"[-4.08407959e+02  5.99491310e+01 -4.86040974e+00 -5.82395554e-01
 -4.92127562e+00  1.39967546e+01 -2.26904736e+01 -5.86958587e-01
 -1.47175722e+01  4.27493095e+00 -1.71591911e+01 -3.79510641e-01
 -8.59252834e+00  6.70441961e+00 -4.44997025e+00  6.20672894e+00
 -4.08137274e+00  1.43271475e+01  1.42441678e+00  5.72645903e+00
  9.23343718e-01  8.99061012e+00 -4.60883665e+00  7.93856907e+00
 -3.15686989e+00  3.53319478e+00 -7.57077754e-01  3.27501822e+00
 -2.78156137e+00  5.92872095e+00  1.18266928e+00  4.66080999e+00
  2.76105046e+00  5.50360298e+00  1.05644875e+01  8.99407864e+00
  9.60750294e+00  9.96915531e+00  9.60058880e+00  5.25657082e+00]",Surprise
2051,"[-5.3378082e+02  8.8679672e+01  2.9899166e+01  2.7136414e+01
  8.0284338e+00  1.3233082e+01 -2.7005770e+00 -3.8536496e+00
 -1.4491213e+01  5.2321463e+00 -1.3450788e+01  1.1705697e+00
 -1.2498086e+01  6.4740596e+00  6.2948650e-01 -4.2316670e+00
 -2.8304164e+00  6.2423887e+00 -2.6271055e+00 -3.4988868e-01
  4.6744313e+00 -3.3783131e+00 -3.7114072e+00  1.7449137e+00
 -3.3152571e+00 -1.4083993e-01 -2.2085614e+00  1.4786500e+00
 -3.4276540e+00 -5.1191080e-01  5.9608513e-01  5.2883325e+00
  5.1025848e+00  7.2896028e+00  1.1153874e+01  4.0318012e+00
  4.1019754e+00  4.9902730e+00  7.8342047e+00  1.1475370e+01]",Sad
2052,"[-3.3676636e+02  3.9479057e+01  8.4973078e+00  1.5293780e+01
 -2.8036728e+01  5.1010189e+00 -1.5567479e+00 -7.5298715e+00
 -1.1895003e+01 -1.2175447e+00 -2.3422949e+01  1.2741818e+01
 -1.7127333e+01  1.3433742e+01 -5.6491179e+00 -7.8074038e-02
 -2.9945810e+00  1.1866673e+00 -7.5557785e+00  5.3007541e+00
 -6.3515830e+00  3.4292946e+00 -7.3334198e+00 -2.3144712e+00
 -2.3357251e+00 -7.1973729e-01  2.0720525e+00  7.5734620e+00
  1.0058230e+01  1.5536824e+01  1.2975612e+01  1.1190297e+01
  4.6454411e+00  3.4235947e+00  3.0012543e+00  5.2406149e+00
  6.9788527e+00  3.3548329e+00  2.1090086e+00  2.2849886e-01]",Angry
2053,"[-4.3395361e+02  6.1553165e+01 -5.8358307e+00  4.1898842e+01
 -1.2936991e+01 -5.3831238e-02 -1.5067549e+01 -8.9770393e+00
 -1.2570111e+01 -5.6272879e+00 -1.2743503e+01  1.1724271e+01
 -1.2384560e+01  6.1338949e+00 -4.8053141e+00 -2.4659309e+00
  7.7006894e-01  1.1860820e+00 -1.2257647e+01  4.5851936e+00
 -9.8829422e+00  1.8660327e+00 -3.5178220e+00  2.0281734e+00
 -1.0872190e+00 -1.7886320e-01 -2.1838481e+00  3.2253673e+00
 -7.6654655e-01  5.7579007e+00  2.0187614e+00  5.2588296e+00
  4.6981425e+00  2.8819180e+00  5.0385714e+00  1.7370416e+00
  3.3970230e+00  2.4725399e+00  2.2306247e+00  1.3652111e+00]",Disgust
2054,"[-282.86227      44.86936     -25.862288     21.96677     -19.57297
   -9.520932    -12.919324    -17.160267     -7.679919      1.8742133
  -17.21215      14.357388    -14.203924      7.0306473    -9.920983
   -2.799876     -2.7459192     2.5592153    -6.9399767     7.334418
  -11.123322     -3.1479442     0.85109633    9.238257     11.575516
   13.468325      5.082237      3.7112844     5.5788655     5.5240755
    6.5977235     6.4263854     1.2297379     7.3827057     4.384596
    3.2895384     0.6982201    -0.48159516   -2.6458042    -2.4411974 ]",Happy
2055,"[-484.4786       65.89279      15.259792     19.438911     10.966754
    9.193123    -11.743327      7.6882796   -18.843021      3.1681519
  -16.174706      7.166665     -5.266052      5.2849083    -2.253857
    3.6629238    -3.3208687     5.10019      -1.2379673    -0.8958531
   -0.8631596    -1.0022134    -1.5333565     0.6557551    -3.5653446
    3.364759      0.99177325    4.1708603     2.6681457     4.022707
    3.0849981     1.4075406     2.9190154     3.808529      3.3830771
    4.3464894     6.034288      6.553875     10.678467      8.518274  ]",Disgust
2056,"[-3.8333521e+02  8.2071068e+01 -5.4676437e+00 -5.6666613e+00
 -2.0061316e+01 -2.2333927e+00 -1.8312620e+01  3.7357256e+00
 -2.7753372e+01 -1.5868413e+00 -1.8756750e+01  1.6480674e+00
 -4.7695546e+00  5.3912358e+00  1.4818466e+00  3.5387950e+00
 -6.0294476e+00 -5.1315689e+00 -8.9946928e+00 -1.5092526e+01
  2.3643130e-01  9.4373989e+00  9.2573452e+00  2.7590733e+01
  3.0266645e+01  2.7319462e+01  1.3952909e+01  4.3650613e+00
  1.6198519e+00  3.5594447e+00  1.2998304e+01  8.5755110e+00
  5.4817624e+00 -5.2755594e+00  5.7147083e+00  5.6886292e+00
  2.9106872e+00  4.3356401e-01 -8.3057747e+00  2.8400552e+00]",Angry
2057,"[-509.90234     66.0375       7.069054    15.197303     4.66178
   22.200956   -12.087167    -4.536918   -22.158016     4.4622006
  -11.319223     5.7335706   -7.028656     9.03561      6.678242
    6.2723103   -5.42454     13.698706    -3.1854074    1.7692963
    0.8865471    4.196919    -4.5507507    1.9935627   -5.526997
   -2.0384264   -3.925444     2.399746    -1.0472249    0.5473385
   -4.2135143   -0.7921857   -3.0020266    5.200888    15.623227
   21.954948    27.715393    25.717602    17.201805     6.5762606]",Calm
2058,"[-5.2830676e+02  9.5970245e+01  2.8006992e+01  1.3780270e+01
  4.0700397e+00  2.3705969e+01 -1.4025488e+01 -1.1275090e+01
 -2.2392521e+01  6.5926404e+00 -1.6326954e+01  5.6647639e+00
 -1.1219690e+01  8.8488579e+00 -6.9160992e-01 -5.7458577e+00
 -1.7532630e+00  4.3234711e+00  1.1810162e+00 -4.9695454e+00
  2.9843898e+00 -1.2780056e+00 -3.0150399e+00  1.0245317e+00
 -6.8615360e+00  2.3206189e+00  5.6972098e-01  2.5798795e+00
  3.1876419e+00  9.6331778e+00  6.8884616e+00  8.9028540e+00
  4.2577462e+00  1.8078461e+00  3.6052498e-01  3.8757060e+00
  1.1720712e+01  1.5088320e+01  1.4437633e+01  1.3331097e+01]",Sad
